symbol,strike,type,openInterest,impliedVolatility,delta_barchart,gamma_barchart,theta_barchart,vega_barchart,expiration,spot,contract_multiplier
NQ,28150.0,call,4.0,0.4972,0.7335,0.0003,-71.8827,8.6063,2026-09-17,28922.5,20.0
NQ,28200.0,call,74.0,0.7837000000000001,0.6524,0.0002,-127.4526,9.6832,2026-09-17,28922.5,20.0
NQ,28250.0,call,101.0,0.7670999999999999,0.6455,0.0002,-125.6869,9.7521,2026-09-17,28922.5,20.0
NQ,28300.0,call,36.0,0.7506,0.6383,0.0002,-123.8871,9.8208,2026-09-17,28922.5,20.0
NQ,28400.0,call,24.0,0.7178,0.6228,0.0002,-120.2051,9.9563,2026-09-17,28922.5,20.0
NQ,28500.0,call,463.0,0.3757,0.6736,0.0004,-59.9694,9.4481,2026-09-17,28922.5,20.0
NQ,28600.0,call,314.0,0.4042,0.6275,0.0004,-67.8484,9.9175,2026-09-17,28922.5,20.0
NQ,28650.0,call,3.0,0.6374,0.5766,0.0002,-110.3482,10.2636,2026-09-17,28922.5,20.0
NQ,28700.0,call,65.0,0.30579999999999996,0.6155,0.0005,-52.1189,10.0147,2026-09-17,28922.5,20.0
NQ,28750.0,call,89.0,0.606,0.5544,0.0002,-106.0478,10.3597,2026-09-17,28922.5,20.0
NQ,28770.0,call,7.0,0.5957,0.5499,0.0003,-104.4517,10.3753,2026-09-17,28922.5,20.0
NQ,28800.0,call,83.0,0.6,0.5421,0.0003,-105.4748,10.399,2026-09-17,28922.5,20.0
NQ,28820.0,call,2.0,0.5802,0.5376,0.0003,-102.1728,10.4109,2026-09-17,28922.5,20.0
NQ,28850.0,call,4.0,0.2753,0.5456,0.0005,-49.0614,10.3887,2026-09-17,28922.5,20.0
NQ,28870.0,call,2.0,0.5649000000000001,0.5246,0.0003,-99.8269,10.4376,2026-09-17,28922.5,20.0
NQ,28900.0,call,26.0,0.2802,0.5179,0.0005,-50.3144,10.447,2026-09-17,28922.5,20.0
NQ,28920.0,call,3.0,0.5497,0.5109,0.0003,-97.3977,10.4538,2026-09-17,28922.5,20.0
NQ,28950.0,call,5.0,0.2741,0.4904,0.0006,-49.4361,10.4548,2026-09-17,28922.5,20.0
NQ,28970.0,call,1.0,0.5347999999999999,0.4964,0.0003,-94.9094,10.4574,2026-09-17,28922.5,20.0
NQ,29000.0,call,773.0,0.2644,0.461,0.0006,-47.6699,10.4082,2026-09-17,28922.5,20.0
NQ,29020.0,call,4.0,0.3105,0.4586,0.0005,-55.6612,10.4018,2026-09-17,28922.5,20.0
NQ,29050.0,call,53.0,0.5111,0.4717,0.0003,-90.6774,10.4317,2026-09-17,28922.5,20.0
NQ,29070.0,call,2.0,0.5058,0.4652,0.0003,-89.6795,10.4184,2026-09-17,28922.5,20.0
NQ,29100.0,call,87.0,0.235,0.3919,0.0006,-41.5932,10.0724,2026-09-17,28922.5,20.0
NQ,29120.0,call,1.0,0.5746,0.4586,0.0003,-101.5148,10.4018,2026-09-17,28922.5,20.0
NQ,29150.0,call,30.0,0.2487,0.3691,0.0006,-43.239,9.8905,2026-09-17,28922.5,20.0
NQ,29170.0,call,10.0,0.5051,0.4355,0.0003,-88.8809,10.3213,2026-09-17,28922.5,20.0
NQ,29200.0,call,223.0,0.2526,0.3433,0.0006,-42.9678,9.6414,2026-09-17,28922.5,20.0
NQ,29220.0,call,4.0,0.46630000000000005,0.4129,0.0003,-81.4235,10.2083,2026-09-17,28922.5,20.0
NQ,29250.0,call,217.0,0.2321,0.3007,0.0006,-37.8665,9.1256,2026-09-17,28922.5,20.0
NQ,29270.0,call,6.0,0.4546,0.3942,0.0003,-78.6182,10.089,2026-09-17,28922.5,20.0
NQ,29300.0,call,305.0,0.2407,0.2805,0.0005,-38.0845,8.8333,2026-09-17,28922.5,20.0
NQ,29320.0,call,7.0,0.44229999999999997,0.3747,0.0003,-75.5382,9.9387,2026-09-17,28922.5,20.0
NQ,29350.0,call,40.0,0.24780000000000002,0.2611,0.0005,-37.9369,8.5229,2026-09-17,28922.5,20.0
NQ,29370.0,call,3.0,0.23129999999999998,0.2359,0.0005,-33.9734,8.0747,2026-09-17,28922.5,20.0
NQ,29400.0,call,291.0,0.242,0.2317,0.0005,-35.1034,7.9937,2026-09-17,28922.5,20.0
NQ,29420.0,call,120.0,0.23989999999999997,0.2204,0.0005,-33.9838,7.7703,2026-09-17,28922.5,20.0
NQ,29450.0,call,109.0,0.2432,0.21,0.0005,-33.5812,7.5556,2026-09-17,28922.5,20.0
NQ,29470.0,call,20.0,0.40380000000000005,0.3111,0.0003,-64.905,9.2631,2026-09-17,28922.5,20.0
NQ,29500.0,call,294.0,0.2459,0.1912,0.0004,-32.2958,7.1417,2026-09-17,28922.5,20.0
NQ,29520.0,call,17.0,0.3907,0.2883,0.0003,-60.9515,8.9498,2026-09-17,28922.5,20.0
NQ,29550.0,call,213.0,0.2752,0.1988,0.0004,-36.5513,7.3132,2026-09-17,28922.5,20.0
NQ,29570.0,call,74.0,0.3823,0.2675,0.0003,-57.7374,8.6291,2026-09-17,28922.5,20.0
NQ,29600.0,call,733.0,0.2403,0.1469,0.0004,-27.3283,6.0287,2026-09-17,28922.5,20.0
NQ,29620.0,call,22.0,0.3967,0.26,0.0003,-59.024,8.504,2026-09-17,28922.5,20.0
NQ,29650.0,call,189.0,0.23879999999999998,0.1283,0.0003,-25.1181,5.4963,2026-09-17,28922.5,20.0
NQ,29670.0,call,14.0,0.3696,0.2286,0.0003,-51.796,7.9341,2026-09-17,28922.5,20.0
NQ,29700.0,call,117.0,0.2555,0.1289,0.0003,-26.7308,5.5143,2026-09-17,28922.5,20.0
NQ,29720.0,call,15.0,0.3527,0.2024,0.0003,-46.4786,7.392,2026-09-17,28922.5,20.0
NQ,29750.0,call,327.0,0.23850000000000002,0.0983,0.0003,-21.3928,4.5439,2026-09-17,28922.5,20.0
NQ,29770.0,call,12.0,0.3776,0.2046,0.0003,-49.8546,7.4412,2026-09-17,28922.5,20.0
NQ,29800.0,call,410.0,0.2275,0.0754,0.0002,-17.5027,3.7267,2026-09-17,28922.5,20.0
NQ,29820.0,call,23.0,0.3824,0.1941,0.0003,-49.0045,7.2082,2026-09-17,28922.5,20.0
NQ,29850.0,call,226.0,0.33030000000000004,0.1497,0.0003,-36.8215,6.1056,2026-09-17,28922.5,20.0
NQ,29870.0,call,41.0,0.3382,0.1505,0.0003,-37.7474,6.1263,2026-09-17,28922.5,20.0
NQ,29900.0,call,336.0,0.23399999999999999,0.0601,0.0002,-15.5978,3.1268,2026-09-17,28922.5,20.0
NQ,29920.0,call,7.0,0.2575,0.0751,0.0002,-19.3294,3.7147,2026-09-17,28922.5,20.0
NQ,29950.0,call,57.0,0.23550000000000001,0.0524,0.0002,-14.4239,2.8051,2026-09-17,28922.5,20.0
NQ,29970.0,call,30.0,0.3209,0.1138,0.0002,-30.3357,5.0507,2026-09-17,28922.5,20.0
NQ,30000.0,call,1597.0,0.23670000000000002,0.0454,0.0002,-13.2956,2.5021,2026-09-17,28922.5,20.0
NQ,30020.0,call,7.0,0.24789999999999998,0.0501,0.0002,-14.6159,2.7086,2026-09-17,28922.5,20.0
NQ,30050.0,call,113.0,0.23440000000000003,0.037,0.0001,-11.709,2.1195,2026-09-17,28922.5,20.0
NQ,30070.0,call,7.0,0.2965,0.076,0.0002,-21.9333,3.7496,2026-09-17,28922.5,20.0
NQ,30100.0,call,439.0,0.24739999999999998,0.0387,0.0001,-12.5025,2.1992,2026-09-17,28922.5,20.0
NQ,30120.0,call,34.0,0.2902,0.0634,0.0002,-19.193,3.2596,2026-09-17,28922.5,20.0
NQ,30150.0,call,134.0,0.24309999999999998,0.0305,0.0001,-10.7728,1.8107,2026-09-17,28922.5,20.0
NQ,30170.0,call,11.0,0.2844,0.0523,0.0001,-16.7214,2.8018,2026-09-17,28922.5,20.0
NQ,30200.0,call,880.0,0.23870000000000002,0.0236,0.0001,-9.2438,1.4604,2026-09-17,28922.5,20.0
NQ,30220.0,call,31.0,0.2785,0.0424,0.0001,-14.449,2.3693,2026-09-17,28922.5,20.0
NQ,30250.0,call,295.0,0.2339,0.0177,0.0001,-7.89,1.1445,2026-09-17,28922.5,20.0
NQ,30270.0,call,20.0,0.2767,0.0359,0.0001,-12.9905,2.0677,2026-09-17,28922.5,20.0
NQ,30300.0,call,838.0,0.2753,0.0322,0.0001,-12.1262,1.8899,2026-09-17,28922.5,20.0
NQ,30320.0,call,7.0,0.31620000000000004,0.0515,0.0001,-18.0572,2.77,2026-09-17,28922.5,20.0
NQ,30350.0,call,41.0,0.2717,0.0261,0.0001,-10.6437,1.5877,2026-09-17,28922.5,20.0
NQ,30370.0,call,41.0,0.2681,0.023,0.0001,-9.8418,1.4298,2026-09-17,28922.5,20.0
NQ,30400.0,call,213.0,0.23739999999999997,0.0107,0.0,-6.3491,0.7392,2026-09-17,28922.5,20.0
NQ,30420.0,call,21.0,0.28559999999999997,0.0265,0.0001,-11.1302,1.6104,2026-09-17,28922.5,20.0
NQ,30450.0,call,87.0,0.2696,0.0183,0.0001,-8.7333,1.1751,2026-09-17,28922.5,20.0
NQ,30500.0,call,1531.0,0.26280000000000003,0.0134,0.0,-7.3842,0.8994,2026-09-17,28922.5,20.0
NQ,30550.0,call,86.0,0.2343,0.0052,0.0,-4.9398,0.3904,2026-09-17,28922.5,20.0
NQ,30600.0,call,220.0,0.25170000000000003,0.007,0.0,-5.5764,0.5114,2026-09-17,28922.5,20.0
NQ,30650.0,call,65.0,0.2953,0.0157,0.0001,-8.5539,1.0333,2026-09-17,28922.5,20.0
NQ,30700.0,call,791.0,0.2602,0.006,0.0,-5.3612,0.4437,2026-09-17,28922.5,20.0
NQ,30750.0,call,455.0,0.2894,0.0102,0.0,-6.8838,0.7094,2026-09-17,28922.5,20.0
NQ,30800.0,call,170.0,0.2651,0.0046,0.0,-5.0004,0.3532,2026-09-17,28922.5,20.0
NQ,30850.0,call,23.0,0.2666,0.004,0.0,-4.8086,0.3078,2026-09-17,28922.5,20.0
NQ,30900.0,call,194.0,0.2852,0.0055,0.0,-5.4155,0.4122,2026-09-17,28922.5,20.0
NQ,30950.0,call,98.0,0.2731,0.0032,0.0,-4.6174,0.2571,2026-09-17,28922.5,20.0
NQ,31000.0,call,1289.0,0.2808,0.0034,0.0,-4.6988,0.266,2026-09-17,28922.5,20.0
NQ,31100.0,call,1084.0,0.3012,0.0041,0.0,-5.0681,0.3184,2026-09-17,28922.5,20.0
NQ,31200.0,call,342.0,0.2896,0.002,0.0,-4.2832,0.1694,2026-09-17,28922.5,20.0
NQ,31250.0,call,339.0,0.2952,0.002,0.0,-4.2911,0.1667,2026-09-17,28922.5,20.0
NQ,31300.0,call,406.0,0.2975,0.0018,0.0,-4.2182,0.15,2026-09-17,28922.5,20.0
NQ,31400.0,call,196.0,0.3084,0.0017,0.0,-4.233,0.1456,2026-09-17,28922.5,20.0
NQ,31500.0,call,1080.0,0.31920000000000004,0.0017,0.0,-4.2478,0.1414,2026-09-17,28922.5,20.0
NQ,31600.0,call,80.0,0.3218,0.0013,0.0,-4.093,0.1101,2026-09-17,28922.5,20.0
NQ,31700.0,call,132.0,0.3273,0.0011,0.0,-4.0181,0.0929,2026-09-17,28922.5,20.0
NQ,31750.0,call,120.0,0.33240000000000003,0.001,0.0,-4.0247,0.0917,2026-09-17,28922.5,20.0
NQ,31800.0,call,30.0,0.33149999999999996,0.0008,0.0,-3.9395,0.0759,2026-09-17,28922.5,20.0
NQ,31900.0,call,36.0,0.34159999999999996,0.0008,0.0,-3.9521,0.074,2026-09-17,28922.5,20.0
NQ,32000.0,call,1263.0,0.386,0.002,0.0,-4.6463,0.1698,2026-09-17,28922.5,20.0
NQ,32100.0,call,22.0,0.35359999999999997,0.0006,0.0,-3.8809,0.056,2026-09-17,28922.5,20.0
NQ,32200.0,call,17.0,0.36329999999999996,0.0006,0.0,-3.893,0.0548,2026-09-17,28922.5,20.0
NQ,32250.0,call,153.0,0.36810000000000004,0.0006,0.0,-3.899,0.0541,2026-09-17,28922.5,20.0
NQ,32300.0,call,20.0,0.373,0.0006,0.0,-3.9051,0.0535,2026-09-17,28922.5,20.0
NQ,32500.0,call,518.0,0.3921,0.0006,0.0,-3.9292,0.0513,2026-09-17,28922.5,20.0
NQ,32750.0,call,220.0,0.4158,0.0005,0.0,-3.9592,0.0488,2026-09-17,28922.5,20.0
NQ,33000.0,call,1568.0,0.4742,0.0012,0.0,-4.4574,0.1014,2026-09-17,28922.5,20.0
NQ,33250.0,call,288.0,0.4623,0.0005,0.0,-4.0188,0.0445,2026-09-17,28922.5,20.0
NQ,33500.0,call,686.0,0.4715,0.0003,0.0,-3.9427,0.0307,2026-09-17,28922.5,20.0
NQ,33750.0,call,125.0,0.4936,0.0003,0.0,-3.9716,0.0295,2026-09-17,28922.5,20.0
NQ,34000.0,call,924.0,0.5154,0.0003,0.0,-4.0004,0.0284,2026-09-17,28922.5,20.0
NQ,34250.0,call,130.0,0.537,0.0003,0.0,-4.0292,0.0275,2026-09-17,28922.5,20.0
NQ,34500.0,call,394.0,0.5337,0.0001,0.0,-3.9422,0.015,2026-09-17,28922.5,20.0
NQ,34750.0,call,45.0,0.5540999999999999,0.0001,0.0,-3.9703,0.0145,2026-09-17,28922.5,20.0
NQ,35000.0,call,608.0,0.5742,0.0001,0.0,-3.9984,0.014,2026-09-17,28922.5,20.0
NQ,35250.0,call,154.0,0.5942000000000001,0.0001,0.0,-4.0265,0.0136,2026-09-17,28922.5,20.0
NQ,35500.0,call,180.0,0.614,0.0001,0.0,-4.0545,0.0132,2026-09-17,28922.5,20.0
NQ,35750.0,call,10.0,0.6335000000000001,0.0001,0.0,-4.0826,0.0129,2026-09-17,28922.5,20.0
NQ,36000.0,call,425.0,0.6529,0.0001,0.0,-4.1106,0.0126,2026-09-17,28922.5,20.0
NQ,36250.0,call,46.0,0.6722,0.0001,0.0,-4.1386,0.0122,2026-09-17,28922.5,20.0
NQ,36500.0,call,227.0,0.6912,0.0001,0.0,-4.1666,0.0119,2026-09-17,28922.5,20.0
NQ,36750.0,call,32.0,0.7101000000000001,0.0001,0.0,-4.1946,0.0117,2026-09-17,28922.5,20.0
NQ,37000.0,call,216.0,0.7288,0.0001,0.0,-4.2226,0.0114,2026-09-17,28922.5,20.0
NQ,37500.0,call,325.0,0.7658,0.0001,0.0,-4.2785,0.0109,2026-09-17,28922.5,20.0
NQ,38000.0,call,154.0,0.8022,0.0001,0.0,-4.3344,0.0105,2026-09-17,28922.5,20.0
NQ,38500.0,call,152.0,0.838,0.0001,0.0,-4.3903,0.0101,2026-09-17,28922.5,20.0
NQ,39000.0,call,124.0,0.8731,0.0001,0.0,-4.4461,0.0097,2026-09-17,28922.5,20.0
NQ,39500.0,call,209.0,0.9078,0.0001,0.0,-4.5019,0.0094,2026-09-17,28922.5,20.0
NQ,40000.0,call,455.0,0.9419,0.0001,0.0,-4.5576,0.0091,2026-09-17,28922.5,20.0
NQ,40500.0,call,453.0,0.9754999999999999,0.0001,0.0,-4.6134,0.0088,2026-09-17,28922.5,20.0
NQ,41000.0,call,245.0,0.0,0.0,0.0,-4.5231,0.0,2026-09-17,28922.5,20.0
NQ,41500.0,call,85.0,0.0,0.0,0.0,-4.5783,0.0,2026-09-17,28922.5,20.0
NQ,42000.0,call,64.0,0.0,0.0,0.0,-4.6334,0.0,2026-09-17,28922.5,20.0
NQ,42500.0,call,52.0,0.0,0.0,0.0,-4.6886,0.0,2026-09-17,28922.5,20.0
NQ,43000.0,call,124.0,0.0,0.0,0.0,-4.7437,0.0,2026-09-17,28922.5,20.0
NQ,5000.0,put,1.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,5500.0,put,11.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,6000.0,put,3.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,7000.0,put,10.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,7500.0,put,2.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,8000.0,put,3.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,8500.0,put,41.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,9000.0,put,318.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,9500.0,put,232.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,10000.0,put,398.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,10500.0,put,57.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,11000.0,put,462.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,11500.0,put,322.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,12000.0,put,34.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,12500.0,put,132.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,13000.0,put,246.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,13500.0,put,45.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,14000.0,put,85.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,14500.0,put,217.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,15000.0,put,41.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,15500.0,put,58.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,16000.0,put,108.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,16500.0,put,165.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,16750.0,put,175.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,17000.0,put,114.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,17250.0,put,59.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,17500.0,put,125.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,17750.0,put,5.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,18000.0,put,254.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,18250.0,put,7.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,18500.0,put,90.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,18750.0,put,92.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,19000.0,put,156.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,19250.0,put,45.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,19500.0,put,107.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,19750.0,put,73.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,20000.0,put,562.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,20250.0,put,113.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,20500.0,put,112.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,20750.0,put,65.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,21000.0,put,283.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,21250.0,put,70.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,21500.0,put,351.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,21750.0,put,437.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,22000.0,put,546.0,0.0,0.0,0.0,0.0,0.0,2026-09-17,28922.5,20.0
NQ,22250.0,put,149.0,0.987,-0.0015,0.0,-2.0238,0.1246,2026-09-17,28922.5,20.0
NQ,22500.0,put,634.0,0.9873000000000001,-0.0022,0.0,-2.9202,0.1797,2026-09-17,28922.5,20.0
NQ,22750.0,put,136.0,0.9551999999999999,-0.0024,0.0,-3.1179,0.1984,2026-09-17,28922.5,20.0
NQ,23000.0,put,495.0,0.9247,-0.0028,0.0,-3.3787,0.2221,2026-09-17,28922.5,20.0
NQ,23250.0,put,162.0,0.8933,-0.0031,0.0,-3.6293,0.2471,2026-09-17,28922.5,20.0
NQ,23500.0,put,452.0,0.8628,-0.0035,0.0,-3.9364,0.2776,2026-09-17,28922.5,20.0
NQ,23600.0,put,64.0,0.8634000000000001,-0.0042,0.0,-4.5734,0.3222,2026-09-17,28922.5,20.0
NQ,23700.0,put,34.0,0.836,-0.0038,0.0,-4.1074,0.2991,2026-09-17,28922.5,20.0
NQ,23750.0,put,60.0,0.8157,-0.0034,0.0,-3.6395,0.2717,2026-09-17,28922.5,20.0
NQ,23800.0,put,61.0,0.8231999999999999,-0.004,0.0,-4.2229,0.3123,2026-09-17,28922.5,20.0
NQ,23900.0,put,90.0,0.8103,-0.0042,0.0,-4.3363,0.3258,2026-09-17,28922.5,20.0
NQ,24000.0,put,984.0,0.7973,-0.0044,0.0,-4.4475,0.3397,2026-09-17,28922.5,20.0
NQ,24100.0,put,121.0,0.7535,-0.0034,0.0,-3.3302,0.2695,2026-09-17,28922.5,20.0
NQ,24200.0,put,73.0,0.7722,-0.0049,0.0,-4.7253,0.3728,2026-09-17,28922.5,20.0
NQ,24250.0,put,87.0,0.7655,-0.005,0.0,-4.7776,0.3803,2026-09-17,28922.5,20.0
NQ,24300.0,put,67.0,0.7261,-0.0037,0.0,-3.4379,0.2889,2026-09-17,28922.5,20.0
NQ,24400.0,put,62.0,0.7464,-0.0054,0.0,-4.9917,0.4076,2026-09-17,28922.5,20.0
NQ,24500.0,put,325.0,0.7031000000000001,-0.0042,0.0,-3.7343,0.3241,2026-09-17,28922.5,20.0
NQ,24600.0,put,49.0,0.6920000000000001,-0.0045,0.0,-3.909,0.3448,2026-09-17,28922.5,20.0
NQ,24700.0,put,30.0,0.706,-0.0062,0.0,-5.3405,0.4613,2026-09-17,28922.5,20.0
NQ,24750.0,put,172.0,0.6990000000000001,-0.0064,0.0,-5.3866,0.47,2026-09-17,28922.5,20.0
NQ,24800.0,put,87.0,0.6799,-0.0058,0.0,-4.7882,0.4299,2026-09-17,28922.5,20.0
NQ,24900.0,put,74.0,0.6799,-0.0069,0.0,-5.6352,0.5058,2026-09-17,28922.5,20.0
NQ,25000.0,put,1468.0,0.6457999999999999,-0.0059,0.0,-4.6259,0.4376,2026-09-17,28922.5,20.0
NQ,25100.0,put,59.0,0.6436,-0.007,0.0,-5.3545,0.5081,2026-09-17,28922.5,20.0
NQ,25200.0,put,52.0,0.6411,-0.0082,0.0,-6.1584,0.5866,2026-09-17,28922.5,20.0
NQ,25250.0,put,72.0,0.626,-0.0077,0.0,-5.7038,0.5567,2026-09-17,28922.5,20.0
NQ,25300.0,put,196.0,0.624,-0.0083,0.0,-6.0714,0.5945,2026-09-17,28922.5,20.0
NQ,25400.0,put,96.0,0.6286999999999999,-0.0105,0.0,-7.504,0.7289,2026-09-17,28922.5,20.0
NQ,25500.0,put,738.0,0.5946,-0.009,0.0,-6.2168,0.6393,2026-09-17,28922.5,20.0
NQ,25600.0,put,67.0,0.585,-0.0099,0.0,-6.65,0.6952,2026-09-17,28922.5,20.0
NQ,25700.0,put,90.0,0.5720000000000001,-0.0106,0.0,-6.8644,0.7341,2026-09-17,28922.5,20.0
NQ,25750.0,put,81.0,0.5603,-0.0103,0.0,-6.5877,0.7195,2026-09-17,28922.5,20.0
NQ,25800.0,put,49.0,0.5555,-0.0109,0.0,-6.82,0.7514,2026-09-17,28922.5,20.0
NQ,25900.0,put,88.0,0.5649000000000001,-0.0146,0.0,-8.9413,0.9678,2026-09-17,28922.5,20.0
